instrument_id,instrument_name,division_id,division_name,fees
1,Piano,1,P Solo 1a - Age 5 (2 minutes) - $35,35.00
1,Piano,2,P Solo 1b - Age 6 to 7 (2 minutes) - $35,35.00
1,Piano,3,P Solo 2 - Age 8 to 9 (3 minutes) - $35,35.00
1,Piano,4,P Solo 3 - Age 10 to 11 (4 minutes) - $35,35.00
1,Piano,5,P Solo 4 - Age 12_ to 13 (4 minutes) - $35,35.00
1,Piano,6,P Solo 5 - Age 14 to 15 (5 minutes) - $35,35.00
1,Piano,7,P Solo 6 - Age 16 to 17 (6 minutes) - $35,35.00
1,Piano,8,P Solo 7 - Age 18 to 19 (6 minutes) - $35,35.00
1,Piano,9,P Duet/Duo - Age 7 and under (4 minutes) - $50,50.00
1,Piano,10,P Duet/Duo - Age 9 and under (5 minutes) - $50,50.00
1,Piano,11,P Duet/Duo - Age 13_ and under (6 minutes) - $50,50.00
1,Piano,12,P Duet/Duo - Age 19 and under (7 minutes) - $50,50.00
1,Piano,13,P Trio - Age 7 and under (4 minutes) - $60,60.00
1,Piano,14,P Trio - Age 9 and under (5 minutes) - $60,60.00
1,Piano,15,P Trio - Age 13 and under (6 minutes) - $60,60.00
1,Piano,16,P Trio - Age 19_ and under (7 minutes) - $60,60.00
2,Mixed Ensemble,17,ME Ensemble 1 - Age 9 and under (5 minutes) - $80,80.00
2,Mixed Ensemble,18,ME Ensemble 2 - Age 13 and under (6 minutes) - $80,80.00
2,Mixed Ensemble,19,ME Ensemble 3 - Age 19 and under (7 minutes) - $80,80.00
3,String,20,S Solo 1 - Age 9 and under (4 minutes) - $35,35.00
3,String,21,S Solo 2 - Age 10-11 (4minutes) -$35,35.00
3,String,22,S Solo 3 - Age 12-13 (5minutes) - $35,35.00
3,String,23,S Solo 4 - Age 14-15 (5 minutes) - $35,35.00
3,String,24,S Solo 5 - Age 16-17 (6 minutes) - $35,35.00
3,String,25,S Solo 6 - Age 18-19 (6 minutes) - $35,35.00
3,String,26,S Baroque 1 - Age 9_ or under (4minutes) - $35,35.00
3,String,27,S Baroque 2 - Age 10-11 (4minutes) - $35,35.00
3,String,28,S Baroque 3 - Age 12-13 (5minutes) - $35,35.00
3,String,29,S Baroque 4 - Age 14-15 (5 minutes) - $35,35.00
3,String,30,S Baroque 5 - Age 16-17 (6 minutes) - $35,35.00
3,String,31,S Baroque 6 - Age 18-19 (6 minutes) - $35,35.00
3,String,32,S Ensemble 1 Duet/Duo - Age 12 and under (5 minutes) - $50,50.00
3,String,33,S Ensemble 1 Trio - Age 12 and under (5 minutes) - $60,60.00
3,String,34,S Ensemble 1 Quartet/Group - Age 12 and under (5 minutes) - $80,80.00
3,String,35,S Ensemble 2 Duet/Duo - Age 13-15 (6 minutes) - $50,50.00
3,String,36,S Ensemble 2 Trio - Age 13-15 (6 minutes) - $60,60.00
3,String,37,S Ensemble 2 Quartet/Group - Age 13-15 (6 minutes) - $80,80.00
3,String,38,S Ensemble 3 Duet/Duo - Age 16-19 (6 minutes) - $50,50.00
3,String,39,S Ensemble 3 Trio - Age 16-19 (6 minutes) - $60,60.00
3,String,40,S Ensemble 3 Quartet/Group - Age 16-19 (6 minutes) - $80,80.00
4,Woodwinds,41,W Solo 1 - Age 11 or under (4 minutes) - $35,35.00
4,Woodwinds,42,W Solo 2 - Age 12-13 (5 minutes) - $35,35.00
4,Woodwinds,43,W Solo 3 - Age 14-15 (6 minutes) - $35,35.00
4,Woodwinds,44,W Solo 4 - Age 16-17 (6 minutes) - $35,35.00
4,Woodwinds,45,W Solo 5 - Age 18-19 (7 minutes) - $35,35.00
4,Woodwinds,46,W Ensemble 1 - Age 13 and under (5 minutes) - $80,80.00
4,Woodwinds,47,W Ensemble 2 - Age 15 and under (5 minutes) - $80,80.00
4,Woodwinds,48,W Ensemble 3 - Age 17 and under (6 minutes) - $80,80.00
4,Woodwinds,49,W Ensemble 4 - Age 19 and under (7 minutes) - $80,80.00
5,Guitar,50,G Division 1  Solo - Age 7 or under (5 minutes) - $40,40.00
5,Guitar,51,G Division 1 Duo - Age 7 or under (5 minutes) - $50,50.00
5,Guitar,52,G Division 1 Trio/Quartet/Group - Age 7 or under (5 minutes) - $60,60.00
5,Guitar,53,G Division 2 Solo - Age 8-10 (7 minutes) - $40,40.00
5,Guitar,54,G Division 2 Duo - Age 8-10 (7 minutes) - $50,50.00
5,Guitar,55,G Division 2 Trio/Quartet/Group - Age 8-10 (7 minutes) - $60,60.00
5,Guitar,56,G Division 3 Solo - Age 11-14 (10 minutes) - $40,40.00
5,Guitar,57,G Division 3 Duo - Age 11-14 (10 minutes) - $50,50.00
5,Guitar,58,G Division 3 Trio/Quartet/Group - Age 11-14 (10 minutes) - $60,60.00
5,Guitar,59,G Division 4 Solo - Age 15-18 (12 minutes) - $40,40.00
5,Guitar,60,G Division 4 Duo - Age 15-18 (12 minutes) - $50,50.00
5,Guitar,61,G Division 4 Trio/Quartet/Group - Age 15-18 (12 minutes) - $60,60.00
5,Guitar,62,G Division 5 Solo - Age 19-26 (12 minutes) - $40,40.00
5,Guitar,63,G Division 5 Duo - Age 19-26 (12 minutes) - $50,50.00
5,Guitar,64,G Division 5 Trio/Quartet/Group - Age 27 and up (12 minutes) - $60,60.00
5,Guitar,65,G Division 6 Solo - Age 19-26 (12 minutes) - $40,40.00
5,Guitar,66,G Division 6 Duo - Age 27 and up (12 minutes) - $50,50.00
5,Guitar,67,G Division 6 Trio/Quartet/Group - Age 27 and up (12 minutes) - $60,60.00
